pid,year,team,leag,ppg,rpg,apg
TORGOIR01,1947,WSC,N,7.212765957,0,0.680851064

VANBRBU01,1947,NYK,N,4.090909091,0,0.659090909

VANCEGE01,1947,CH1,N,8.375,0,1.020833333

WERTIRA01,1947,PRO,N,4.571428571,0,0.857142857

ZASLOMA01,1947,CH1,N,20.97916667,0,0.604166667

ARMSTPA01,1948,FTW,N,7.307692308,0,2.019230769

BACHJO01,1948,BOS,N,3.5,0,0.735294118

BEENDHA01,1948,BOS,N,2.375,0,0.375

BISHOGA01,1948,PH1,N,8.339285714,0,1.642857143

BLACKCH01,1948,FTW,N,7.647058824,0,1.470588235

BLACKCH01,1948,TOT,N,9.775862069,0,2.413793103

BLACKCH01,1948,INJ,N,10.65853659,0,2.804878049

BLOOMMI01,1948,CH1,N,3.380952381,0,0.80952381

BLOOMMI01,1948,TOT,N,2.8,0,0.711111111

BLOOMMI01,1948,MIE,N,2.291666667,0,0.625

BORNHJA01,1948,PH1,N,5.866666667,0,0.866666667

BRAUNCA01,1948,NYK,N,14.21052632,0,3.035087719

BROOKPR01,1948,INJ,N,8.185185185,0,2.518518519

BROWNBO01,1948,PRO,N,5.4,0,0.7

BROWNDA01,1948,BA1,N,1.333333333,0,0

BROWNJI01,1948,CH1,N,0,0,0

BUDKOWA01,1948,BA1,N,11.53333333,0,1.65

BYRNETO01,1948,NYK,N,5.714285714,0,1.542857143

BYRNETO01,1948,TOT,N,7.228070175,0,1.789473684

BYRNETO01,1948,INJ,N,9.636363636,0,2.181818182

CALHOBI01,1948,ROC,N,6.553571429,0,2.232142857

CALVEER01,1948,PRO,N,9.440677966,0,4.254237288

CARLSDO01,1948,MIE,N,9.236363636,0,3.090909091

COLONJO01,1948,NYK,N,5.533333333,0,0.6

CROCKDI01,1948,FTW,N,3,0,0

CROSSFR01,1948,PH1,N,3.954545455,0,1.25

CURRAFR01,1948,ROC,N,3.631578947,0,1.368421053

DALLMHO01,1948,PH1,N,7.710526316,0,3.052631579

DAVIEBO01,1948,ROC,N,15.06666667,0,5.35

DOLLBO01,1948,BOS,N,7.872340426,0,2.489361702

DUNCAAN01,1948,ROC,N,7.4,0,0.927272727

DWANJA01,1948,MIE,N,4.6,0,2.15

EGGLELO01,1948,ST1,N,2,0,0.5

EHLERED01,1948,BOS,N,8.711864407,0,2.254237288

ELLEFRA01,1948,MIE,N,0,0,0

ESKRIJA01,1948,CH1,N,0,0,0

ESKRIJA01,1948,INJ,N,3.2,0,0.7

ESKRIJA01,1948,TOT,N,2.782608696,0,0.608695652

EZERSJO01,1948,TOT,N,6.517857143,0,1.196428571

EZERSJO01,1948,BA1,N,4.703703704,0,1

EZERSJO01,1948,BOS,N,10.27777778,0,1.611111111

EZERSJO01,1948,PRO,N,4.818181818,0,1

